payment_id,order_id,payment_type,payment_status,payment_value
PAY00161,O00161,UPI,pending,83002.27
PAY00162,O00162,Cash on Delivery,paid,52000.3
PAY00163,O00163,UPI,paid,0.0
PAY00164,O00164,Net Banking,paid,0.0
PAY00165,O00165,Credit Card,paid,49459.72
PAY00166,O00166,Debit Card,paid,0.0
PAY00167,O00167,UPI,paid,34812.76
PAY00168,O00168,Credit Card,paid,63733.23
PAY00169,O00169,Net Banking,paid,102366.17
PAY00170,O00170,UPI,paid,0.0
PAY00171,O00171,Net Banking,paid,88166.25
PAY00172,O00172,Debit Card,paid,71166.85
PAY00173,O00173,Debit Card,pending,48072.68
PAY00174,O00174,Cash on Delivery,paid,18514.42
PAY00175,O00175,Cash on Delivery,paid,166926.16
PAY00176,O00176,Cash on Delivery,paid,65442.26
PAY00177,O00177,Net Banking,paid,71421.74
PAY00178,O00178,Cash on Delivery,paid,50583.18
PAY00179,O00179,Credit Card,failed,17435.76
PAY00180,O00180,Net Banking,paid,1874.29
PAY00181,O00181,Net Banking,paid,0.0
PAY00182,O00182,Cash on Delivery,paid,72604.28
PAY00183,O00183,Cash on Delivery,paid,39916.08
PAY00184,O00184,Net Banking,paid,27566.58
PAY00185,O00185,Debit Card,paid,240823.65
PAY00186,O00186,Debit Card,paid,23186.73
PAY00187,O00187,Cash on Delivery,paid,0.0
PAY00188,O00188,Debit Card,pending,76800.74
PAY00189,O00189,Credit Card,paid,9276.8
PAY00190,O00190,Credit Card,paid,0.0
PAY00191,O00191,Credit Card,paid,73629.47
PAY00192,O00192,Net Banking,pending,53586.62
PAY00193,O00193,Net Banking,paid,36852.7
PAY00194,O00194,Net Banking,paid,73656.28
PAY00195,O00195,Net Banking,paid,0.0
PAY00196,O00196,Net Banking,paid,56482.55
PAY00197,O00197,Cash on Delivery,paid,33178.55
PAY00198,O00198,Debit Card,paid,77093.64
PAY00199,O00199,Cash on Delivery,paid,5103.25
PAY00200,O00200,Debit Card,paid,56718.69
PAY00201,O00201,Cash on Delivery,paid,0.0
PAY00202,O00202,Credit Card,paid,107026.77
PAY00203,O00203,UPI,paid,44625.82
PAY00204,O00204,Net Banking,paid,10996.32
PAY00205,O00205,UPI,paid,0.0
PAY00206,O00206,UPI,paid,61547.8
PAY00207,O00207,Credit Card,paid,95566.96
PAY00208,O00208,UPI,paid,29767.38
PAY00209,O00209,UPI,paid,8717.88
PAY00210,O00210,Credit Card,paid,49404.58
PAY00211,O00211,Debit Card,paid,8992.56
PAY00212,O00212,Cash on Delivery,paid,31055.48
PAY00213,O00213,UPI,paid,45107.74
PAY00214,O00214,Net Banking,failed,7489.42
PAY00215,O00215,Credit Card,paid,89623.26
PAY00216,O00216,UPI,paid,84497.96
PAY00217,O00217,Debit Card,paid,162265.28
PAY00218,O00218,Debit Card,failed,18460.19
PAY00219,O00219,Net Banking,failed,41009.35
PAY00220,O00220,UPI,paid,144524.02
PAY00221,O00221,Net Banking,paid,103912.98
PAY00222,O00222,Debit Card,paid,1627.61
PAY00223,O00223,Debit Card,failed,198022.07
PAY00224,O00224,Cash on Delivery,paid,0.0
PAY00225,O00225,Debit Card,pending,0.0
PAY00226,O00226,Credit Card,paid,23430.25
PAY00227,O00227,Cash on Delivery,paid,55391.88
PAY00228,O00228,Net Banking,paid,0.0
PAY00229,O00229,Debit Card,paid,22954.65
PAY00230,O00230,Credit Card,pending,19969.68
PAY00231,O00231,Cash on Delivery,paid,0.0
PAY00232,O00232,Credit Card,pending,21917.4
PAY00233,O00233,Cash on Delivery,paid,12784.61
PAY00234,O00234,Cash on Delivery,paid,34284.75
PAY00235,O00235,Cash on Delivery,paid,23076.65
PAY00236,O00236,Net Banking,paid,65143.83
PAY00237,O00237,Cash on Delivery,paid,22553.87
PAY00238,O00238,Cash on Delivery,pending,0.0
PAY00239,O00239,Credit Card,paid,13599.44
PAY00240,O00240,Cash on Delivery,paid,52098.36
PAY00241,O00241,Net Banking,pending,61449.88
PAY00242,O00242,Credit Card,paid,91468.86
PAY00243,O00243,Cash on Delivery,paid,0.0
PAY00244,O00244,Credit Card,paid,39939.36
PAY00245,O00245,Net Banking,paid,167185.52
PAY00246,O00246,Credit Card,paid,166864.28
PAY00247,O00247,Net Banking,paid,73468.0
PAY00248,O00248,Debit Card,pending,0.0
PAY00249,O00249,Cash on Delivery,paid,54021.48
PAY00250,O00250,Net Banking,paid,0.0
PAY00251,O00251,Cash on Delivery,paid,0.0
PAY00252,O00252,Net Banking,pending,0.0
PAY00253,O00253,UPI,paid,150590.14
PAY00254,O00254,UPI,paid,78342.02
PAY00255,O00255,UPI,paid,16770.23
PAY00256,O00256,Net Banking,paid,0.0
PAY00257,O00257,Cash on Delivery,paid,74205.03
PAY00258,O00258,UPI,paid,63346.93
PAY00259,O00259,Cash on Delivery,paid,0.0
PAY00260,O00260,Net Banking,paid,113871.41
PAY00261,O00261,Cash on Delivery,paid,0.0
PAY00262,O00262,Cash on Delivery,paid,27566.58
PAY00263,O00263,UPI,paid,0.0
PAY00264,O00264,Credit Card,paid,1548.28
PAY00265,O00265,Debit Card,paid,0.0
PAY00266,O00266,Net Banking,paid,0.0
PAY00267,O00267,Net Banking,paid,115521.42
PAY00268,O00268,Net Banking,paid,62826.4
PAY00269,O00269,Debit Card,paid,17434.0
PAY00270,O00270,Credit Card,paid,40933.19
PAY00271,O00271,Cash on Delivery,paid,42898.21
PAY00272,O00272,Net Banking,paid,95014.1
PAY00273,O00273,Cash on Delivery,paid,99218.92
PAY00274,O00274,UPI,pending,79626.8
PAY00275,O00275,UPI,paid,64899.48
PAY00276,O00276,UPI,paid,122482.43
PAY00277,O00277,Net Banking,paid,5479.35
PAY00278,O00278,Debit Card,paid,107384.78
PAY00279,O00279,Net Banking,paid,4506.64
PAY00280,O00280,UPI,paid,11135.12
PAY00281,O00281,UPI,paid,69560.19
PAY00282,O00282,Net Banking,paid,111240.66
PAY00283,O00283,Debit Card,paid,70480.53
PAY00284,O00284,Debit Card,paid,25708.66
PAY00285,O00285,Cash on Delivery,paid,47542.21
PAY00286,O00286,Credit Card,paid,44540.08
PAY00287,O00287,UPI,pending,4644.84
PAY00288,O00288,Debit Card,paid,156908.05
PAY00289,O00289,UPI,paid,3096.56
PAY00290,O00290,Credit Card,paid,57073.96
PAY00291,O00291,UPI,paid,0.0
PAY00292,O00292,Debit Card,paid,0.0
PAY00293,O00293,Cash on Delivery,paid,1627.61
PAY00294,O00294,Net Banking,paid,35422.49
PAY00295,O00295,Net Banking,paid,84385.8
PAY00296,O00296,Debit Card,paid,0.0
PAY00297,O00297,Debit Card,paid,3122.48
PAY00298,O00298,Credit Card,paid,0.0
PAY00299,O00299,UPI,paid,14568.04
PAY00300,O00300,Credit Card,paid,45164.4
PAY00301,O00301,Net Banking,paid,0.0
PAY00302,O00302,UPI,paid,71222.37
PAY00303,O00303,Credit Card,paid,42413.87
PAY00304,O00304,Net Banking,paid,76300.04
PAY00305,O00305,UPI,paid,43948.2
PAY00306,O00306,Cash on Delivery,paid,36924.2
PAY00307,O00307,Cash on Delivery,paid,29607.44
PAY00308,O00308,Credit Card,paid,116787.16
PAY00309,O00309,Debit Card,paid,0.0
PAY00310,O00310,UPI,failed,42259.31
PAY00311,O00311,Credit Card,failed,0.0
PAY00312,O00312,Debit Card,paid,59126.72
PAY00313,O00313,Debit Card,paid,0.0
PAY00314,O00314,UPI,paid,62509.12
PAY00315,O00315,UPI,paid,6709.38
PAY00316,O00316,Debit Card,pending,2997.52
PAY00317,O00317,Net Banking,paid,25700.02
PAY00318,O00318,Credit Card,paid,67080.92
PAY00319,O00319,UPI,paid,112849.12
PAY00320,O00320,Debit Card,paid,104427.35
PAY00321,O00321,Net Banking,paid,18134.8
PAY00322,O00322,Cash on Delivery,paid,0.0
PAY00323,O00323,Debit Card,paid,0.0
PAY00324,O00324,Net Banking,pending,0.0
PAY00325,O00325,Cash on Delivery,paid,3302.14
PAY00326,O00326,Net Banking,paid,72506.96
PAY00327,O00327,UPI,paid,27977.62
PAY00328,O00328,Debit Card,paid,0.0
PAY00329,O00329,Cash on Delivery,paid,70407.99
PAY00330,O00330,Net Banking,paid,71296.76
PAY00331,O00331,Cash on Delivery,paid,62275.24
PAY00332,O00332,Credit Card,paid,49155.68
PAY00333,O00333,Debit Card,paid,48870.03
PAY00334,O00334,UPI,paid,118702.22
PAY00335,O00335,Cash on Delivery,paid,79828.38
PAY00336,O00336,Net Banking,paid,52144.08
PAY00337,O00337,Cash on Delivery,paid,66529.32
PAY00338,O00338,Net Banking,paid,34871.52
PAY00339,O00339,Cash on Delivery,paid,157100.02
PAY00340,O00340,UPI,paid,56167.32
PAY00341,O00341,UPI,paid,1137.66
PAY00342,O00342,Debit Card,paid,0.0
PAY00343,O00343,UPI,paid,0.0
PAY00344,O00344,Cash on Delivery,paid,52156.15
PAY00345,O00345,Cash on Delivery,paid,86858.44
PAY00346,O00346,UPI,paid,13783.29
PAY00347,O00347,Credit Card,paid,0.0
PAY00348,O00348,Cash on Delivery,pending,179891.02
PAY00349,O00349,Debit Card,paid,43923.12
PAY00350,O00350,Credit Card,paid,52070.47
PAY00351,O00351,UPI,pending,98962.04
PAY00352,O00352,Net Banking,paid,0.0
PAY00353,O00353,Cash on Delivery,paid,0.0
PAY00354,O00354,Net Banking,failed,55955.24
PAY00355,O00355,Debit Card,paid,152724.6
PAY00356,O00356,Credit Card,paid,0.0
PAY00357,O00357,Net Banking,paid,95554.58
PAY00358,O00358,Debit Card,paid,1485.44
PAY00359,O00359,Net Banking,paid,60953.11
PAY00360,O00360,Net Banking,paid,101191.83
PAY00361,O00361,Debit Card,paid,89003.16
PAY00362,O00362,Cash on Delivery,pending,0.0
PAY00363,O00363,Net Banking,paid,153971.36
PAY00364,O00364,Debit Card,paid,14101.19
PAY00365,O00365,Net Banking,paid,33898.92
PAY00366,O00366,Cash on Delivery,paid,0.0
PAY00367,O00367,Debit Card,paid,227049.4
PAY00368,O00368,Net Banking,paid,29759.83
PAY00369,O00369,UPI,paid,35801.42
PAY00370,O00370,Cash on Delivery,paid,44681.94
PAY00371,O00371,Net Banking,paid,115428.34
PAY00372,O00372,Credit Card,paid,148709.2
PAY00373,O00373,Debit Card,paid,49588.66
PAY00374,O00374,Net Banking,paid,17062.74
PAY00375,O00375,Cash on Delivery,paid,42979.11
PAY00376,O00376,Cash on Delivery,paid,41146.64
PAY00377,O00377,Credit Card,paid,16579.8
PAY00378,O00378,Credit Card,pending,31329.46
PAY00379,O00379,Net Banking,paid,110148.88
PAY00380,O00380,UPI,paid,0.0
PAY00381,O00381,Cash on Delivery,paid,57094.12
PAY00382,O00382,UPI,paid,44082.96
PAY00383,O00383,UPI,paid,56883.6
PAY00384,O00384,Net Banking,paid,0.0
PAY00385,O00385,Debit Card,paid,0.0
PAY00386,O00386,Debit Card,paid,54470.15
PAY00387,O00387,Debit Card,paid,57159.96
PAY00388,O00388,Credit Card,paid,0.0
PAY00389,O00389,Cash on Delivery,paid,57342.82
PAY00390,O00390,Credit Card,paid,17813.92
PAY00391,O00391,Cash on Delivery,paid,73848.4
PAY00392,O00392,Cash on Delivery,paid,0.0
PAY00393,O00393,Cash on Delivery,paid,70082.51
PAY00394,O00394,Net Banking,paid,94986.44
PAY00395,O00395,Debit Card,paid,145484.12
PAY00396,O00396,Credit Card,paid,132299.39
PAY00397,O00397,Credit Card,paid,16631.84
PAY00398,O00398,Net Banking,pending,0.0
PAY00399,O00399,Cash on Delivery,paid,130923.33
PAY00400,O00400,Debit Card,paid,31055.48
PAY00401,O00401,UPI,paid,1204.5
PAY00402,O00402,UPI,paid,93721.0
PAY00403,O00403,Net Banking,paid,72073.91
PAY00404,O00404,Debit Card,failed,10869.2
PAY00405,O00405,UPI,paid,67482.72
PAY00406,O00406,UPI,paid,17256.83
PAY00407,O00407,Credit Card,paid,14056.12
PAY00408,O00408,Debit Card,paid,51217.49
PAY00409,O00409,UPI,paid,9067.4
PAY00410,O00410,Credit Card,paid,0.0
PAY00411,O00411,Debit Card,paid,55391.88
PAY00412,O00412,Cash on Delivery,paid,140857.26
PAY00413,O00413,Debit Card,paid,0.0
PAY00414,O00414,Net Banking,paid,72493.36
PAY00415,O00415,Credit Card,paid,0.0
PAY00416,O00416,Cash on Delivery,failed,43963.81
PAY00417,O00417,Credit Card,paid,0.0
PAY00418,O00418,Credit Card,paid,0.0
PAY00419,O00419,UPI,pending,87167.51
PAY00420,O00420,Debit Card,paid,0.0
PAY00421,O00421,Credit Card,paid,99218.92
PAY00422,O00422,Credit Card,paid,27771.63
PAY00423,O00423,Net Banking,paid,31932.64
PAY00424,O00424,Net Banking,paid,0.0
PAY00425,O00425,Net Banking,paid,0.0
PAY00426,O00426,Credit Card,failed,50778.78
PAY00427,O00427,Cash on Delivery,paid,49245.82
PAY00428,O00428,Debit Card,paid,57427.28
PAY00429,O00429,Credit Card,paid,23182.32
PAY00430,O00430,UPI,paid,38310.08
PAY00431,O00431,Cash on Delivery,paid,102926.01
PAY00432,O00432,Cash on Delivery,paid,18317.76
PAY00433,O00433,Debit Card,paid,0.0
PAY00434,O00434,Cash on Delivery,paid,76345.36
PAY00435,O00435,Debit Card,paid,12329.94
PAY00436,O00436,Cash on Delivery,paid,31386.69
PAY00437,O00437,Debit Card,paid,39689.84
PAY00438,O00438,Net Banking,pending,76668.17
PAY00439,O00439,Net Banking,paid,0.0
PAY00440,O00440,Cash on Delivery,paid,37111.43
PAY00441,O00441,Cash on Delivery,paid,132627.57
PAY00442,O00442,Debit Card,failed,57316.19
PAY00443,O00443,Debit Card,paid,42303.57
PAY00444,O00444,Credit Card,paid,109356.81
PAY00445,O00445,Net Banking,paid,35872.9
PAY00446,O00446,Credit Card,paid,21706.14
PAY00447,O00447,Credit Card,paid,37838.48
PAY00448,O00448,UPI,paid,5392.47
PAY00449,O00449,Debit Card,paid,77272.09
PAY00450,O00450,UPI,paid,34978.56
PAY00451,O00451,UPI,paid,0.0
PAY00452,O00452,Credit Card,paid,0.0
PAY00453,O00453,UPI,paid,81405.41
PAY00454,O00454,Debit Card,paid,13800.37
PAY00455,O00455,Credit Card,paid,803.62
PAY00456,O00456,Debit Card,paid,132776.86
PAY00457,O00457,Cash on Delivery,pending,73468.0
PAY00458,O00458,UPI,paid,48185.6
PAY00459,O00459,Credit Card,paid,124705.8
PAY00460,O00460,Net Banking,paid,69229.95
PAY00461,O00461,Debit Card,paid,0.0
PAY00462,O00462,UPI,paid,81066.34
PAY00463,O00463,Debit Card,paid,46196.12
PAY00464,O00464,Debit Card,paid,75253.18
PAY00465,O00465,Cash on Delivery,paid,115607.61
PAY00466,O00466,Debit Card,paid,72816.17
PAY00467,O00467,Cash on Delivery,paid,43429.22
PAY00468,O00468,Cash on Delivery,paid,0.0
PAY00469,O00469,Cash on Delivery,paid,32153.12
PAY00470,O00470,UPI,paid,16375.59
PAY00471,O00471,Debit Card,paid,50057.96
PAY00472,O00472,Debit Card,paid,0.0
PAY00473,O00473,Cash on Delivery,paid,19516.85
PAY00474,O00474,Debit Card,paid,133204.01
PAY00475,O00475,Debit Card,paid,42336.48
PAY00476,O00476,Cash on Delivery,paid,98174.33
PAY00477,O00477,Net Banking,paid,0.0
PAY00478,O00478,Net Banking,paid,32580.02
PAY00479,O00479,Cash on Delivery,paid,0.0
PAY00480,O00480,UPI,paid,67080.92
PAY00481,O00481,Debit Card,paid,19540.96
PAY00482,O00482,Debit Card,paid,0.0
PAY00483,O00483,Net Banking,paid,72452.23
PAY00484,O00484,Cash on Delivery,paid,55338.56
PAY00485,O00485,UPI,failed,0.0
PAY00486,O00486,Cash on Delivery,pending,0.0
PAY00487,O00487,Net Banking,paid,36586.4
PAY00488,O00488,Net Banking,paid,1606.0
PAY00489,O00489,Debit Card,paid,0.0
PAY00490,O00490,Credit Card,paid,11411.5
PAY00491,O00491,UPI,paid,0.0
PAY00492,O00492,UPI,paid,84970.38
PAY00493,O00493,Credit Card,pending,129861.32
PAY00494,O00494,Net Banking,paid,108531.42
PAY00495,O00495,Cash on Delivery,paid,109126.54
PAY00496,O00496,UPI,paid,0.0
PAY00497,O00497,Credit Card,paid,43720.1
PAY00498,O00498,Debit Card,paid,122433.5
PAY00499,O00499,Debit Card,paid,27779.36
PAY00500,O00500,Net Banking,paid,115785.14
PAY00501,O00501,UPI,paid,45480.32
PAY00502,O00502,Cash on Delivery,paid,56785.41
PAY00503,O00503,UPI,paid,84497.96
PAY00504,O00504,Debit Card,paid,55936.02
PAY00505,O00505,UPI,paid,0.0
PAY00506,O00506,Debit Card,paid,62540.04
PAY00507,O00507,Credit Card,paid,33722.93
PAY00508,O00508,Credit Card,paid,34771.5
PAY00509,O00509,Debit Card,paid,30578.45
PAY00510,O00510,Cash on Delivery,paid,52212.84
PAY00511,O00511,Cash on Delivery,paid,105767.64
PAY00512,O00512,UPI,paid,53243.22
PAY00513,O00513,Debit Card,pending,0.0
PAY00514,O00514,Net Banking,pending,0.0
PAY00515,O00515,Cash on Delivery,paid,0.0
PAY00516,O00516,Cash on Delivery,paid,99714.49
PAY00517,O00517,Credit Card,paid,88135.0
PAY00518,O00518,Cash on Delivery,paid,45542.86
PAY00519,O00519,Cash on Delivery,paid,38759.77
PAY00520,O00520,Cash on Delivery,paid,63812.32
PAY00521,O00521,Debit Card,paid,19771.76
PAY00522,O00522,Debit Card,paid,122509.45
PAY00523,O00523,Credit Card,paid,70290.75
PAY00524,O00524,UPI,paid,0.0
PAY00525,O00525,Cash on Delivery,paid,83406.75
PAY00526,O00526,UPI,paid,37227.84
PAY00527,O00527,Debit Card,failed,4001.56
PAY00528,O00528,Cash on Delivery,paid,134115.79
PAY00529,O00529,UPI,paid,39025.08
PAY00530,O00530,UPI,pending,45736.24
PAY00531,O00531,Net Banking,paid,131711.52
PAY00532,O00532,Debit Card,paid,71834.61
PAY00533,O00533,Credit Card,paid,82725.38
PAY00534,O00534,Credit Card,paid,56152.92
PAY00535,O00535,Net Banking,paid,0.0
PAY00536,O00536,UPI,failed,55606.56
PAY00537,O00537,Net Banking,paid,4550.64
PAY00538,O00538,Net Banking,paid,0.0
PAY00539,O00539,Debit Card,paid,51138.44
PAY00540,O00540,Cash on Delivery,paid,105273.73
PAY00541,O00541,UPI,paid,68922.26
PAY00542,O00542,Credit Card,paid,108699.4
PAY00543,O00543,Credit Card,paid,40909.84
PAY00544,O00544,Net Banking,paid,0.0
PAY00545,O00545,Net Banking,paid,29954.52
PAY00546,O00546,Net Banking,paid,33662.32
PAY00547,O00547,UPI,paid,84232.59
PAY00548,O00548,Net Banking,paid,73558.13
PAY00549,O00549,Net Banking,paid,17281.12
PAY00550,O00550,Cash on Delivery,paid,1733.67
PAY00551,O00551,UPI,paid,0.0
PAY00552,O00552,Debit Card,paid,42984.21
PAY00553,O00553,Debit Card,pending,52004.46
PAY00554,O00554,Cash on Delivery,paid,90623.66
PAY00555,O00555,Credit Card,paid,74689.91
PAY00556,O00556,Debit Card,paid,39145.0
PAY00557,O00557,UPI,paid,15736.88
PAY00558,O00558,Credit Card,pending,34808.56
PAY00559,O00559,Net Banking,paid,22290.52
PAY00560,O00560,UPI,paid,21300.48
PAY00561,O00561,Credit Card,paid,12702.93
PAY00562,O00562,Debit Card,paid,132124.56
PAY00563,O00563,Net Banking,paid,13889.68
PAY00564,O00564,Net Banking,paid,0.0
PAY00565,O00565,UPI,paid,103951.42
PAY00566,O00566,Net Banking,paid,108062.75
PAY00567,O00567,Credit Card,paid,44144.48
PAY00568,O00568,Cash on Delivery,paid,60373.68
PAY00569,O00569,Debit Card,paid,33050.58
PAY00570,O00570,UPI,paid,68804.24
PAY00571,O00571,Cash on Delivery,paid,108406.2
PAY00572,O00572,Cash on Delivery,paid,0.0
PAY00573,O00573,UPI,paid,803.62
PAY00574,O00574,Credit Card,paid,19031.22
PAY00575,O00575,Debit Card,paid,53494.99
PAY00576,O00576,UPI,pending,5350.65
PAY00577,O00577,Cash on Delivery,paid,3744.71
PAY00578,O00578,Cash on Delivery,paid,0.0
PAY00579,O00579,UPI,paid,85282.58
PAY00580,O00580,Cash on Delivery,failed,59130.04
