order_id,customer_id,order_date,status
O00344,C00279,2026-01-30,delivered
O00345,C00535,2026-03-26,shipped
O00346,C00410,2025-12-30,cancelled
O00347,C00461,2026-04-02,delivered
O00348,C00391,2025-08-14,delivered
O00349,C00847,2025-05-11,delivered
O00350,C00044,2026-04-21,delivered
O00351,C00027,2025-10-04,delivered
O00352,C00794,2025-06-05,delivered
O00353,C00097,2025-08-06,delivered
O00354,C00975,2025-07-09,delivered
O00355,C00548,2026-02-21,delivered
O00356,C00621,2026-06-30,delivered
O00357,C00567,2025-02-10,delivered
O00358,C00704,2025-11-03,shipped
O00359,C00219,2025-12-04,delivered
O00360,C00185,2025-11-10,delivered
O00361,C00069,2025-03-16,delivered
O00362,C00829,2025-10-06,shipped
O00363,C00130,2025-06-25,cancelled
O00364,C00567,2025-09-30,delivered
O00365,C00890,2025-10-16,delivered
O00366,C00609,2025-09-29,delivered
O00367,C00848,2025-03-07,delivered
O00368,C00599,2026-04-28,delivered
O00369,C00806,2025-09-05,delivered
O00370,C00631,2025-06-05,delivered
O00371,C00720,2025-02-16,delivered
O00372,C00334,2026-03-30,delivered
O00373,C00925,2025-07-20,delivered
O00374,C00154,2025-05-04,delivered
O00375,C00547,2025-01-01,delivered
O00376,C00079,2025-07-10,delivered
O00377,C00579,2026-05-31,processing
O00378,C00855,2026-03-18,delivered
O00379,C00413,2025-05-23,delivered
O00380,C00546,2025-07-10,processing
O00381,C00609,2026-06-17,delivered
O00382,C00169,2025-08-15,delivered
O00383,C00681,2025-11-09,delivered
O00384,C00663,2025-10-29,processing
O00385,C00583,2026-04-05,cancelled
O00386,C00515,2026-02-05,shipped
O00387,C00314,2026-01-28,delivered
O00388,C00032,2025-07-26,delivered
O00389,C00287,2025-07-29,delivered
O00390,C00594,2025-04-25,delivered
O00391,C00043,2025-09-08,delivered
O00392,C00903,2025-08-07,delivered
O00393,C00617,2026-02-11,shipped
O00394,C00001,2026-03-19,delivered
O00395,C00573,2025-12-20,delivered
O00396,C00270,2025-05-22,delivered
O00397,C00180,2026-05-16,processing
O00398,C00736,2026-06-26,shipped
O00399,C00518,2026-05-22,delivered
O00400,C00103,2025-10-08,delivered
O00401,C00010,2026-02-28,delivered
O00402,C00583,2025-09-27,processing
O00403,C00090,2025-06-03,delivered
O00404,C00226,2025-03-24,delivered
O00405,C00670,2026-03-02,delivered
O00406,C00740,2025-10-02,delivered
O00407,C00917,2025-10-11,shipped
O00408,C00126,2025-06-22,delivered
O00409,C00956,2025-11-23,delivered
O00410,C00209,2025-03-04,delivered
O00411,C00097,2025-03-14,delivered
O00412,C00074,2026-01-10,processing
O00413,C00627,2026-05-23,delivered
O00414,C00191,2026-02-02,processing
O00415,C00682,2025-04-30,shipped
O00416,C00819,2026-03-13,delivered
O00417,C00960,2026-04-10,delivered
O00418,C00716,2025-10-13,delivered
O00419,C00056,2025-09-22,shipped
O00420,C00720,2025-11-16,delivered
O00421,C00553,2026-01-11,delivered
O00422,C00032,2025-03-30,delivered
O00423,C00527,2025-07-22,shipped
O00424,C00574,2025-11-30,delivered
O00425,C00667,2025-08-10,delivered
O00426,C00284,2025-02-10,delivered
O00427,C00721,2025-03-09,delivered
O00428,C00832,2026-05-29,shipped
O00429,C00494,2025-05-07,delivered
O00430,C00187,2025-09-12,shipped
O00431,C00498,2025-01-16,delivered
O00432,C00442,2026-04-22,delivered
O00433,C00130,2025-03-03,delivered
O00434,C00639,2026-03-08,delivered
O00435,C00292,2025-09-25,delivered
O00436,C00114,2025-02-04,delivered
O00437,C00199,2026-05-09,delivered
O00438,C00013,2026-04-14,delivered
O00439,C00271,2025-11-21,delivered
O00440,C00601,2025-10-31,processing
O00441,C00215,2025-10-03,delivered
O00442,C00444,2025-07-20,delivered
O00443,C00790,2026-03-21,delivered
O00444,C00512,2025-11-20,shipped
O00445,C00447,2025-02-04,shipped
O00446,C00986,2026-04-27,delivered
O00447,C00993,2026-04-25,processing
O00448,C00715,2025-03-06,delivered
O00449,C00074,2025-01-08,delivered
O00450,C00537,2025-10-28,processing
O00451,C00101,2025-12-09,processing
O00452,C00176,2026-03-07,delivered
O00453,C00427,2026-02-28,processing
O00454,C00117,2025-11-28,delivered
O00455,C00166,2026-03-14,processing
O00456,C00041,2025-06-23,delivered
O00457,C00429,2026-06-11,delivered
O00458,C00344,2025-01-26,delivered
O00459,C00424,2026-02-10,delivered
O00460,C00366,2025-08-20,delivered
O00461,C00120,2026-06-17,delivered
O00462,C00609,2026-05-20,delivered
O00463,C00657,2025-06-28,delivered
O00464,C00728,2025-05-12,delivered
O00465,C00229,2026-03-31,delivered
O00466,C00825,2025-12-14,delivered
O00467,C00130,2026-06-24,shipped
O00468,C00352,2026-02-10,processing
O00469,C00889,2025-03-17,shipped
O00470,C00318,2026-05-07,delivered
O00471,C00984,2025-07-13,shipped
O00472,C00649,2025-06-11,delivered
O00473,C00836,2025-12-13,delivered
O00474,C00337,2025-12-27,delivered
O00475,C00273,2025-03-28,shipped
O00476,C00117,2025-09-19,delivered
O00477,C00818,2025-08-02,delivered
O00478,C00368,2025-09-19,delivered
O00479,C00094,2025-10-10,processing
O00480,C00168,2026-04-12,delivered
O00481,C00954,2026-01-15,delivered
O00482,C00715,2025-12-28,delivered
O00483,C00341,2026-03-25,delivered
O00484,C00661,2026-03-17,delivered
O00485,C00914,2025-04-03,delivered
O00486,C00695,2026-02-28,processing
O00487,C00925,2025-05-22,delivered
O00488,C00152,2025-10-18,delivered
O00489,C00586,2026-03-08,delivered
O00490,C00877,2025-02-18,delivered
O00491,C00913,2025-10-29,delivered
O00492,C00274,2025-07-09,delivered
O00493,C00554,2025-05-16,delivered
O00494,C00496,2026-02-08,shipped
O00495,C00724,2025-12-07,delivered
O00496,C00101,2025-11-14,delivered
O00497,C00557,2025-12-29,shipped
O00498,C00082,2026-01-17,delivered
O00499,C00529,2025-08-21,shipped
O00500,C00073,2025-12-10,delivered
O00501,C00014,2026-06-13,delivered
O00502,C00433,2025-07-02,shipped
O00503,C00157,2025-02-10,delivered
O00504,C00735,2026-02-01,delivered
O00505,C00132,2026-05-09,shipped
O00506,C00338,2025-11-29,delivered
O00507,C00404,2025-05-07,delivered
O00508,C00376,2025-01-01,delivered
O00509,C00888,2025-06-17,shipped
O00510,C00559,2025-01-19,processing
O00511,C00107,2025-11-28,delivered
O00512,C00620,2026-04-01,delivered
O00513,C00265,2025-04-19,processing
O00514,C00205,2025-09-25,delivered
O00515,C00079,2026-03-21,delivered
O00516,C00155,2025-08-28,delivered
O00517,C00783,2025-10-28,shipped
O00518,C00988,2025-04-13,processing
O00519,C00997,2025-09-07,delivered
O00520,C00247,2026-03-29,delivered
O00521,C00531,2026-06-04,delivered
O00522,C00858,2025-06-02,delivered
O00523,C00948,2025-06-23,delivered
O00524,C00538,2025-12-09,shipped
O00525,C00729,2026-03-07,delivered
O00526,C00154,2025-11-20,shipped
O00527,C00154,2026-02-24,delivered
O00528,C00686,2026-04-30,delivered
O00529,C00092,2026-02-16,delivered
O00530,C00433,2025-03-25,delivered
O00531,C00338,2025-04-23,delivered
O00532,C00480,2025-11-28,cancelled
O00533,C00693,2026-01-13,shipped
O00534,C00131,2025-02-10,delivered
O00535,C00450,2025-04-15,delivered
O00536,C00993,2025-07-21,processing
O00537,C00810,2026-03-26,delivered
O00538,C00787,2025-09-23,delivered
O00539,C00273,2025-07-29,delivered
O00540,C00929,2025-04-28,cancelled
O00541,C00588,2026-01-12,delivered
O00542,C00177,2026-06-24,delivered
O00543,C00696,2025-03-25,processing
O00544,C00831,2026-03-30,delivered
O00545,C00643,2026-05-29,delivered
O00546,C00875,2026-01-22,delivered
O00547,C00049,2025-12-16,processing
O00548,C00567,2025-10-23,delivered
O00549,C00666,2025-09-15,cancelled
O00550,C00355,2025-03-22,delivered
O00551,C00712,2025-09-25,delivered
O00552,C00308,2026-02-23,cancelled
O00553,C00868,2025-08-23,delivered
O00554,C00885,2025-11-07,delivered
O00555,C00630,2025-12-23,delivered
O00556,C00775,2025-08-01,delivered
O00557,C00046,2025-02-18,delivered
O00558,C00302,2025-05-07,delivered
O00559,C00868,2025-08-11,delivered
O00560,C00912,2025-10-06,shipped
O00561,C00408,2026-02-12,delivered
O00562,C00189,2026-05-20,cancelled
O00563,C00822,2025-10-21,delivered
O00564,C00830,2025-10-04,delivered
O00565,C00129,2026-03-14,delivered
O00566,C00561,2025-04-17,delivered
O00567,C00537,2026-02-24,delivered
O00568,C00266,2026-03-05,shipped
O00569,C00118,2026-01-10,processing
O00570,C00464,2025-03-14,cancelled
O00571,C00144,2025-01-30,delivered
O00572,C00442,2025-07-07,processing
O00573,C00200,2025-12-30,delivered
O00574,C00157,2026-03-27,delivered
O00575,C00487,2025-07-14,processing
O00576,C00860,2025-06-05,delivered
O00577,C00134,2025-06-21,delivered
O00578,C00912,2025-02-10,delivered
O00579,C00148,2025-03-04,delivered
O00580,C00336,2025-01-23,shipped
O00581,C00071,2025-12-26,delivered
O00582,C00233,2025-03-16,cancelled
O00583,C00334,2025-04-28,delivered
O00584,C00811,2026-01-15,delivered
O00585,C00666,2025-10-17,delivered
O00586,C00090,2026-03-16,delivered
O00587,C00334,2025-01-07,delivered
O00588,C00199,2025-07-15,shipped
O00589,C00161,2026-02-25,processing
O00590,C00538,2025-07-12,processing
O00591,C00121,2025-05-28,shipped
O00592,C00301,2025-07-21,processing
O00593,C00724,2026-03-20,delivered
O00594,C00575,2026-02-23,shipped
O00595,C00963,2026-03-03,delivered
O00596,C00436,2026-04-24,delivered
O00597,C00068,2026-04-20,delivered
O00598,C00765,2025-05-06,delivered
O00599,C00922,2026-01-30,delivered
O00600,C00459,2025-11-21,cancelled
O00601,C00514,2026-01-27,delivered
O00602,C00398,2026-03-16,delivered
O00603,C00620,2025-07-23,delivered
O00604,C00286,2026-05-01,delivered
O00605,C00561,2025-01-31,delivered
O00606,C00140,2026-01-23,delivered
O00607,C00730,2026-03-10,delivered
O00608,C00556,2026-01-11,delivered
O00609,C00929,2025-12-10,shipped
O00610,C00781,2026-03-19,shipped
O00611,C00590,2025-03-16,delivered
O00612,C00728,2025-06-04,delivered
O00613,C00894,2026-03-06,delivered
O00614,C00610,2025-12-29,shipped
O00615,C00748,2026-03-24,delivered
O00616,C00282,2025-08-22,delivered
O00617,C00661,2025-09-19,shipped
O00618,C00924,2025-05-05,delivered
O00619,C00816,2025-09-02,delivered
O00620,C00996,2026-06-26,delivered
O00621,C00936,2026-04-30,processing
O00622,C00578,2025-05-02,processing
O00623,C00746,2025-05-05,delivered
O00624,C00457,2025-06-19,delivered
O00625,C00087,2025-05-04,delivered
O00626,C00079,2025-02-04,cancelled
O00627,C00205,2025-03-28,cancelled
O00628,C00791,2025-07-20,delivered
O00629,C00337,2026-01-04,shipped
O00630,C00254,2025-03-18,delivered
O00631,C00304,2025-02-28,delivered
O00632,C00380,2026-03-07,delivered
O00633,C00130,2026-05-15,delivered
O00634,C00596,2025-04-19,processing
O00635,C00276,2025-10-05,delivered
O00636,C00699,2025-03-09,delivered
O00637,C00558,2025-03-10,processing
O00638,C00899,2025-06-14,processing
O00639,C00183,2026-05-04,delivered
O00640,C00268,2025-11-01,delivered
O00641,C00808,2025-12-31,delivered
O00642,C00322,2026-01-14,delivered
O00643,C00512,2025-12-09,cancelled
O00644,C00612,2025-12-20,processing
O00645,C00078,2026-02-20,delivered
O00646,C00784,2025-04-19,delivered
O00647,C00339,2026-05-12,delivered
O00648,C00674,2025-12-07,processing
O00649,C00556,2026-01-18,delivered
O00650,C00509,2026-06-17,delivered
O00651,C00238,2025-10-27,delivered
O00652,C00134,2025-05-19,delivered
O00653,C00973,2025-12-25,delivered
O00654,C00192,2026-05-14,delivered
O00655,C00356,2026-01-20,processing
O00656,C00278,2025-10-07,processing
O00657,C00018,2026-04-28,shipped
O00658,C00524,2025-04-21,delivered
O00659,C00180,2025-05-19,delivered
O00660,C00123,2026-03-11,delivered
O00661,C00246,2026-05-24,delivered
O00662,C00734,2025-09-30,processing
O00663,C00373,2025-04-09,delivered
O00664,C00051,2025-04-14,delivered
O00665,C01000,2025-08-02,processing
O00666,C00071,2025-06-14,cancelled
O00667,C00480,2026-06-04,delivered
O00668,C00560,2025-10-11,delivered
O00669,C00019,2026-06-01,delivered
O00670,C00774,2025-06-13,delivered
O00671,C00084,2025-03-05,delivered
O00672,C00155,2025-04-01,delivered
O00673,C00565,2025-04-27,cancelled
O00674,C00619,2025-09-24,delivered
O00675,C00357,2025-05-20,delivered
O00676,C00816,2025-09-03,delivered
O00677,C00647,2026-01-30,delivered
O00678,C00443,2026-05-02,processing
O00679,C00069,2026-04-21,delivered
O00680,C00523,2026-06-01,delivered
O00681,C00143,2025-07-03,delivered
O00682,C00192,2025-01-20,shipped
O00683,C00387,2026-06-08,delivered
O00684,C00378,2026-06-13,shipped
O00685,C00581,2025-05-27,delivered
O00686,C00535,2025-10-31,delivered
O00687,C00693,2025-08-16,delivered
O00688,C00293,2025-04-12,cancelled
O00689,C00009,2026-02-21,processing
O00690,C00271,2025-08-04,delivered
O00691,C00387,2026-02-11,delivered
O00692,C00093,2026-02-03,delivered
O00693,C00966,2026-05-14,delivered
O00694,C00529,2026-04-10,delivered
O00695,C00154,2025-03-23,processing
O00696,C00405,2025-12-31,processing
O00697,C00840,2025-06-12,delivered
O00698,C00149,2025-02-17,delivered
O00699,C00889,2026-05-26,processing
O00700,C00267,2025-11-25,shipped
O00701,C00422,2025-04-26,delivered
O00702,C00840,2025-12-03,delivered
O00703,C00618,2025-05-27,delivered
O00704,C00472,2025-11-19,delivered
O00705,C00893,2026-03-19,delivered
O00706,C00547,2025-01-13,delivered
O00707,C00631,2026-05-09,delivered
O00708,C00526,2025-10-14,delivered
O00709,C00503,2025-04-24,delivered
O00710,C00014,2026-04-25,delivered
O00711,C00778,2025-01-22,shipped
O00712,C00652,2025-12-15,processing
O00713,C00806,2025-11-16,delivered
O00714,C00364,2025-05-06,delivered
O00715,C00119,2025-10-04,cancelled
O00716,C00238,2025-07-23,delivered
O00717,C00546,2025-07-13,delivered
O00718,C00169,2025-10-13,delivered
O00719,C00522,2025-02-26,delivered
O00720,C00634,2025-10-30,delivered
O00721,C00913,2025-06-12,processing
O00722,C00657,2025-01-19,delivered
O00723,C00963,2026-01-05,delivered
O00724,C00958,2025-09-21,processing
O00725,C00735,2025-04-23,delivered
O00726,C00883,2026-05-03,delivered
O00727,C00769,2025-11-23,delivered
O00728,C00780,2026-06-26,delivered
O00729,C00871,2025-03-06,delivered
O00730,C00516,2025-10-19,delivered
O00731,C00938,2025-01-25,delivered
O00732,C00397,2025-01-01,delivered
O00733,C00866,2025-05-21,delivered
O00734,C00106,2025-07-07,delivered
O00735,C00085,2025-05-08,delivered
O00736,C00214,2025-07-20,delivered
O00737,C00121,2025-05-07,delivered
